1,KEIJI NAMBA,1996年11月10日,"難波啓司です。<br>Developer<br><br>👍🤟"
2,株式会社SRF,,"SRF公式アカウント"
3,株式会社SRP,,"株式会社スターレイプロダクション"
4,ONLYFIVE公式,,"ONLYFIVE公式アカウント"
5,池田あおい_buGG,2002年12月04日,"初めまして池田あおいです☺︎︎ あなただけに心を込めて送ります〜 楽しみにしていてね！Twitter→@aoi_buGG"
6,清水凜_buGG,2000年03月14日,"⚠️イラストはイメージです。ちゃんと顔面送るので安心してご購入ください。愛を込めて書きます💌"
7,URUMU_QUEENS,,"やあ！🦧"
8,NANAMI_QUEENS,,"学生時代立派な加工厨だったのでいろいろ描くの得意です＼(^o^)／＼(^o^)／＼(^o^)／"
9,RIHO_QUEENS,,"QUEENSのぴんく！あなたと私だけ🧏🏻‍♀️<br>Twitter▷ <a href="https://mobile.twitter.com/riho_queens" target="_blank">https://mobile.twitter.com/riho_queens</a>"
10,RINA_QUEENS,1998年06月15日,"たくさんメッセージ送るよ〜👼🏻💌"
11,EMIRY_QUEENS,1997年10月08日,"QUEENSのパープル💜<br>ブラジルと日本のクォーター🇧🇷🇯🇵"
12,MAHO_QUEENS,,"Hello☺︎"
13,鈴木媛子_buGG,2000年01月07日,"buGGの黄色の人です<br>"
14,町田つむぎ_buGG,2002年04月09日,"ｂｕＧＧ<br>高校2年生<br>よろしくお願いします～👶🏻"
15,早見玲花_buGG,2000年11月22日,"はじめまして！早見玲花です<br>あなただけに届けます✌︎<br><br>Twitter<br>→ <a href="https://twitter.com/reika_buGG" target="_blank">https://twitter.com/reika_buGG</a><br><br>Instagram<br>→ <a href="https://www.instagram.com/hymr_k" target="_blank">https://www.instagram.com/hymr_k</a>"
16,斉藤なな_buGG,2002年12月30日,"buGGの斉藤ななです"
17,田中みう_PiiiiiiiN,2005年03月04日,"PiiiiiiiNの田中みうです💜"
18,堀口あいか_PiiiiiiiN,2002年11月22日,"PiiiiiiiN/黄色担当🌼/高校2年生17歳/<br>Twitter➡️ <a href="https://mobile.twitter.com/aika_piiiiiiin" target="_blank">https://mobile.twitter.com/aika_piiiiiiin</a><br>"
19,美希あすか_PiiiiiiiN,2002年03月28日,"PiiiiiiiNの美希あすかです!!! <br><br>Twitter⇒twitter.com/asuka_piiiiiiin<br><br>機会がとても音痴なのですが編集アプリの使い方を覚えて無敵モードです！！！！！"
20,前田イブ_PiiiiiiiN,2002年12月09日,"【Twitter】<br><a href="https://twitter.com/eve_piiiiiiin" target="_blank">https://twitter.com/eve_piiiiiiin</a><br>【Instagram】<br><a href="https://www.instagram.com/eve_piiiiiiin/" target="_blank">https://www.instagram.com/eve_piiiiiiin/</a><br>"
21,大槻りこ_PiiiiiiiN,2001年12月04日,"PiiiiiiiN💙担当✤18歳✤グループ1高身長<br><br>LIKE☞食べること✤寝ること✤美味しいもの✤体を動かすこと<br>目標☞Twitterフォロワーさん1万人✤ 武道館LIVE✤TGC出演...etc.<br><br><br> 良かったらフォローして下さい❁⃘*.ﾟ<br>〚Twitter〛<a href="https://twitter.com/riko_piiiiiiin" target="_blank">https://twitter.com/riko_piiiiiiin</a>"
22,上野りみ_PiiiiiiiN,2002年07月21日,"<a href="https://mobile.twitter.com/rimi_piiiiiiin" target="_blank">https://mobile.twitter.com/rimi_piiiiiiin</a><br><a href="https://www.instagram.com/rimitan._.world/" target="_blank">https://www.instagram.com/rimitan._.world/</a>"
23,那須笑美_PiiiiiiiN,2001年07月07日,"Twitter<br><a href="https://mobile.twitter.com/nasu_piiiiiiin" target="_blank">https://mobile.twitter.com/nasu_piiiiiiin</a><br><br>Instagram<br><a href="http://instagram.com/hohomi_nasu" target="_blank">http://instagram.com/hohomi_nasu</a><br><br>TikTok<br><a href="https://vt.tiktok.com/jTEPSr/" target="_blank">https://vt.tiktok.com/jTEPSr/</a><br><br>なすほほみ のSNS 🌱<br>"
24,FreeK-Laboratory,1990年03月11日,"合同会社FreeK-Laboratoryの公式アカウントです。<br><br>HP：<a href="https://www.freek-laboratory.com" target="_blank">https://www.freek-laboratory.com</a>"
25,神山賢士_B&#39;SHOP!,1996年04月06日,"B&#39;SHOP!の青担当 <a href="https://mobile.twitter.com/BishopKoyama" target="_blank">https://mobile.twitter.com/BishopKoyama</a>"
26,廻谷 恵士_B&#39;SHOP!,1997年03月01日,""
27,ハル_Ne:XAS,,"Ne:XASの白色担当ハルです！ <br>181cm / 作詞作曲 / アニメ / コスプレ / ねこ / 洋服(モード系) / スイーツ / アート / 城 / 教会・大聖堂 / 執事 / 山P / luz / シソンヌ / シナモン / V系 / 歌い手 / ボカロ"
